Date,Open,High,Low,Close,Adj Close,Volume
2019-05-22,1558.382446,1582.760376,1554.755859,1582.760376,1232.935791,12185446
2019-05-23,1592.229614,1606.534058,1582.961914,1583.163452,1233.249512,8466011
2019-05-24,1589.207520,1598.475220,1582.156006,1593.639893,1241.410400,6246009
2019-05-28,1582.558960,1585.379639,1558.180908,1558.180908,1213.788818,24397748
2019-05-29,1550.323486,1555.158813,1536.824951,1547.099976,1205.156982,6089197
2019-05-30,1542.466064,1552.539673,1539.242554,1548.510254,1206.255371,4726743
2019-05-31,1541.055786,1545.286743,1529.773438,1538.235229,1198.251587,8950430
2019-06-03,1535.616089,1561.203003,1531.586670,1560.598633,1215.672241,5633279
2019-06-04,1550.323486,1554.957397,1532.593994,1541.660156,1200.919556,9743159
2019-06-05,1539.443970,1542.063232,1521.513062,1538.839600,1198.722168,6143447
2019-06-06,1535.213135,1556.166260,1532.795532,1556.166260,1212.219238,7311465
2019-06-07,1548.711670,1586.185425,1548.711670,1576.716309,1228.227661,9838156
2019-06-10,1575.507446,1595.856079,1575.507446,1588.603149,1237.486938,9727225
2019-06-11,1590.617798,1598.475220,1581.954468,1585.379639,1234.976074,7215333
2019-06-12,1574.902954,1598.878174,1574.097168,1594.848755,1242.352173,5593254
2019-06-13,1591.423706,1608.145752,1586.789917,1594.244263,1241.881348,6601083
2019-06-14,1578.529541,1603.713501,1572.686890,1596.057617,1243.293945,6033168
2019-06-17,1596.661987,1602.101685,1585.984009,1600.087036,1246.432617,6890227
2019-06-18,1604.720825,1627.890137,1603.109131,1606.937012,1251.768677,8856801
2019-06-19,1619.226807,1620.435547,1598.878174,1616.809082,1259.458862,6551680
2019-06-20,1621.644409,1632.926758,1617.413452,1618.823853,1261.028076,9032387
2019-06-21,1604.720825,1611.973755,1575.306030,1587.998657,1237.015991,26450419
2019-06-24,1589.207520,1609.556152,1583.969360,1604.720825,1250.042114,10950088
2019-06-25,1599.079590,1620.435547,1592.632446,1617.413452,1259.929565,6019871
2019-06-26,1613.182617,1616.204712,1592.833984,1598.878174,1245.490967,8894653
2019-06-27,1599.482544,1599.482544,1576.313354,1593.639893,1241.410400,5600574
2019-06-28,1593.438354,1595.251709,1581.954468,1588.200195,1237.172974,5952120
2019-07-01,1606.534058,1614.391479,1593.237061,1602.101685,1248.002197,6415522
2019-07-02,1611.772339,1632.120972,1603.310547,1632.120972,1271.386475,9458826
2019-07-03,1636.956299,1663.147583,1629.098877,1653.275513,1287.865356,8935375
2019-07-04,1649.850464,1657.304932,1647.835693,1651.059326,1286.139160,3444242
2019-07-05,1648.843140,1657.909302,1640.381348,1648.641602,1284.255371,5674548
2019-07-08,1641.791626,1643.806274,1631.718018,1639.978394,1277.507324,10902395
2019-07-09,1634.135742,1655.491699,1634.135742,1652.268066,1287.080566,6854916
2019-07-10,1649.044556,1658.110840,1640.179810,1655.290161,1289.434692,5748038
2019-07-11,1661.132935,1670.199097,1639.776855,1644.410645,1280.959961,10442074
2019-07-12,1645.216553,1646.223999,1626.882690,1635.747437,1274.211304,6596904
2019-07-15,1629.904785,1655.491699,1626.278320,1650.656250,1285.824951,6472852
2019-07-16,1658.715210,1684.302124,1657.506348,1677.250610,1306.541138,10788087
2019-07-17,1678.257935,1682.085938,1665.363770,1672.818237,1303.088745,7084477
2019-07-18,1662.140259,1672.213745,1657.304932,1661.938843,1294.614014,14429433
2019-07-19,1666.169678,1674.631470,1651.059326,1658.513672,1291.945679,7645037
2019-07-22,1658.513672,1674.228516,1651.260742,1666.774048,1298.380249,5306609
2019-07-23,1670.400635,1682.287354,1659.521118,1672.818237,1303.088745,8736529
2019-07-24,1667.579956,1714.119873,1654.081421,1665.766724,1297.595703,13318449
2019-07-25,1672.012329,1698.405151,1667.177002,1682.287354,1310.464844,14380049
2019-07-26,1686.719849,1704.650757,1679.063843,1698.203613,1322.863281,11012310
2019-07-29,1703.038940,1747.765625,1703.038940,1742.728760,1357.547363,9730316
2019-07-30,1737.692139,1762.271606,1736.281860,1741.520020,1356.605835,9218801
2019-07-31,1735.274414,1736.281860,1690.749146,1715.127197,1336.046631,10885678
2019-08-01,1709.485962,1734.871460,1707.672852,1722.984619,1342.167236,7157564
2019-08-02,1726.208252,1734.670044,1702.233154,1703.441895,1326.944092,8256744
2019-08-05,1685.108032,1696.994751,1668.768555,1675.034424,1304.814819,9986613
2019-08-06,1670.803467,1675.437256,1658.312256,1659.118042,1292.416626,8164437
2019-08-07,1662.946045,1682.085938,1658.513672,1670.199097,1301.048340,6866171
2019-08-08,1670.400635,1679.668213,1653.879883,1679.668213,1327.298584,11836139
2019-08-09,1680.071167,1700.947754,1673.700684,1682.085938,1329.209106,7540871
